Age,Gender,User_Type,Dataset_Source,Region,Region_Group,Screen_Time,Social_Media_Hours,Gaming_Hours,Work_Study_Hours,Sleep_Hours,Stress_Level,Anxiety_Level,Depression_Level,Notifications_Per_Day,Addiction_Level,Productivity_Impact,Physical_Activity,Caffeine_Intake,Stress_Level_Raw,Age_Group,Behavioral_Risk_Index,Addiction_Category,Productivity_Flag
22,Female,Student,Student_Wellness,Global/Unknown,Global,2.7,,,7.4,5.9,0.01963141025641026,,,,,High,Yes,3.0,2.0,Young Adult,-0.22911057692307712,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,7.6,,,4.6,5.9,0.0296474358974359,,,,,Low,No,2.0,3.0,Young Adult,1.48889423076923,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,3.2,,,2.0,8.0,0.009615384615384616,,,,,High,Yes,3.0,1.0,Young Adult,-0.47711538461538483,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,11.4,,,4.4,7.8,0.01963141025641026,,,,,High,Yes,3.0,2.0,Young Adult,2.435889423076923,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,2.9,,,6.7,6.0,0.01963141025641026,,,,,High,No,0.0,2.0,Young Adult,-0.1791105769230772,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,8.0,,,5.8,4.1,0.0296474358974359,,,,,Medium,Yes,1.0,3.0,Young Adult,1.9888942307692306,Unknown,1
24,Other,Student,Student_Wellness,Global/Unknown,Global,8.6,,,6.2,4.9,0.0296474358974359,,,,,Low,No,1.0,3.0,Young Adult,2.0388942307692304,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,4.2,,,2.1,8.6,0.009615384615384616,,,,,Low,Yes,1.0,1.0,Young Adult,-0.24711538461538463,Unknown,1
24,Male,Student,Student_Wellness,Global/Unknown,Global,7.6,,,7.7,4.0,0.0296474358974359,,,,,High,No,0.0,3.0,Young Adult,1.8688942307692302,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,7.0,,,4.4,7.1,0.01963141025641026,,,,,Medium,Yes,2.0,2.0,Young Adult,1.0358894230769229,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,6.7,,,7.6,7.0,0.01963141025641026,,,,,Low,No,4.0,2.0,Young Adult,0.9508894230769227,Unknown,1
18,Other,Student,Student_Wellness,Global/Unknown,Global,3.0,,,3.2,4.7,0.01963141025641026,,,,,Medium,No,4.0,2.0,Teen,0.11588942307692285,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,10.5,,,6.7,8.0,0.01963141025641026,,,,,Medium,Yes,1.0,2.0,Young Adult,2.080889423076923,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,2.9,,,2.4,8.0,0.009615384615384616,,,,,Low,Yes,1.0,1.0,Young Adult,-0.5821153846153848,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,5.7,,,6.3,6.1,0.01963141025641026,,,,,Low,No,0.0,2.0,Young Adult,0.7808894230769228,Unknown,1
23,Female,Student,Student_Wellness,Global/Unknown,Global,2.4,,,3.8,4.9,0.01963141025641026,,,,,High,Yes,0.0,2.0,Young Adult,-0.13411057692307704,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,4.5,,,2.6,8.3,0.009615384615384616,,,,,High,Yes,0.0,1.0,Young Adult,-0.08211538461538481,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,3.3,,,2.8,7.5,0.009615384615384616,,,,,Low,No,1.0,1.0,Young Adult,-0.3421153846153848,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,7.2,,,3.6,5.3,0.0296474358974359,,,,,Low,Yes,3.0,3.0,Young Adult,1.4688942307692305,Unknown,1
19,Male,Student,Student_Wellness,Global/Unknown,Global,10.9,,,2.8,8.8,0.01963141025641026,,,,,Medium,Yes,1.0,2.0,Teen,2.060889423076923,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,4.8,,,7.9,6.9,0.01963141025641026,,,,,Medium,Yes,3.0,2.0,Young Adult,0.3058894230769229,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,10.3,,,6.6,6.7,0.01963141025641026,,,,,High,Yes,4.0,2.0,Teen,2.270889423076923,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,10.1,,,3.0,7.6,0.01963141025641026,,,,,Low,No,1.0,2.0,Young Adult,2.0208894230769228,Unknown,1
24,Other,Student,Student_Wellness,Global/Unknown,Global,10.0,,,7.8,4.8,0.0296474358974359,,,,,Low,No,0.0,3.0,Young Adult,2.5488942307692306,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,9.2,,,6.7,5.2,0.0296474358974359,,,,,Medium,No,3.0,3.0,Young Adult,2.1888942307692303,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,3.3,,,7.3,6.1,0.01963141025641026,,,,,High,Yes,1.0,2.0,Young Adult,-0.059110576923077085,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,4.4,,,2.9,7.9,0.009615384615384616,,,,,Low,No,1.0,1.0,Young Adult,-0.03711538461538466,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,7.1,,,7.4,5.8,0.0296474358974359,,,,,High,No,4.0,3.0,Young Adult,1.3338942307692305,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,4.1,,,5.5,5.6,0.01963141025641026,,,,,High,Yes,3.0,2.0,Teen,0.32088942307692303,Unknown,1
23,Female,Student,Student_Wellness,Global/Unknown,Global,9.9,,,5.6,7.0,0.01963141025641026,,,,,High,Yes,2.0,2.0,Young Adult,2.070889423076923,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,8.2,,,6.2,8.1,0.01963141025641026,,,,,High,Yes,2.0,2.0,Young Adult,1.2558894230769226,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,8.9,,,7.5,6.0,0.01963141025641026,,,,,High,No,4.0,2.0,Teen,1.9208894230769227,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,6.5,,,6.3,6.1,0.01963141025641026,,,,,Low,No,0.0,2.0,Young Adult,1.060889423076923,Unknown,1
23,Female,Student,Student_Wellness,Global/Unknown,Global,6.5,,,3.6,7.6,0.01963141025641026,,,,,Medium,No,3.0,2.0,Young Adult,0.760889423076923,Unknown,1
19,Other,Student,Student_Wellness,Global/Unknown,Global,11.9,,,4.3,8.7,0.01963141025641026,,,,,High,Yes,4.0,2.0,Teen,2.4308894230769225,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,9.0,,,7.8,6.6,0.01963141025641026,,,,,Low,No,3.0,2.0,Young Adult,1.835889423076923,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,7.5,,,4.8,6.9,0.01963141025641026,,,,,High,No,4.0,2.0,Young Adult,1.250889423076923,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,9.1,,,5.2,6.5,0.01963141025641026,,,,,Medium,Yes,0.0,2.0,Young Adult,1.8908894230769226,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,9.9,,,3.3,7.7,0.01963141025641026,,,,,Low,No,2.0,2.0,Young Adult,1.930889423076923,Unknown,1
18,Other,Student,Student_Wellness,Global/Unknown,Global,4.5,,,2.8,4.6,0.01963141025641026,,,,,Medium,No,1.0,2.0,Teen,0.6608894230769231,Unknown,1
